point_index;time;latitude;longitude;altitude_m;distance_step_m;distance_cum_m;time_step_s;speed_m_s;speed_km_h;elevation_delta_m;slope_percent_raw;segment_type_raw;slope_percent_smooth_5pts;speed_km_h_smooth_5pts;segment_type_smooth
1;2026-05-10T08:00:00+00:00;44.123456;5.987654;850.0;0;0;;;;;;;0.0;3.0;plat
2;2026-05-10T08:00:04+00:00;44.123486;5.987674;850.0;5.0;5.0;4;1.25;4.5;0.0;0.0;plat;0.0;3.375;plat
3;2026-05-10T08:00:08+00:00;44.123516;5.987694;850.0;5.0;10.0;4;1.25;4.5;0.0;0.0;plat;0.0;3.6;plat
4;2026-05-10T08:00:12+00:00;44.123546;5.987714;850.0;5.0;15.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
5;2026-05-10T08:00:16+00:00;44.123576;5.987734;850.0;5.0;20.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
6;2026-05-10T08:00:20+00:00;44.123606;5.987754;850.0;5.0;25.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
7;2026-05-10T08:00:24+00:00;44.123636;5.987774;850.0;5.0;30.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
8;2026-05-10T08:00:28+00:00;44.123666;5.987794;850.0;5.0;35.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
9;2026-05-10T08:00:32+00:00;44.123696;5.987814;850.0;5.0;40.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
10;2026-05-10T08:00:36+00:00;44.123726;5.987834;850.0;5.0;45.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
11;2026-05-10T08:00:40+00:00;44.123756;5.987854;850.0;5.0;50.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
12;2026-05-10T08:00:44+00:00;44.123786;5.987874;850.0;5.0;55.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
13;2026-05-10T08:00:48+00:00;44.123816;5.987894;850.0;5.0;60.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
14;2026-05-10T08:00:52+00:00;44.123846;5.987914;850.0;5.0;65.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
15;2026-05-10T08:00:56+00:00;44.123876;5.987934;850.0;5.0;70.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
16;2026-05-10T08:01:00+00:00;44.123906;5.987954;850.0;5.0;75.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
17;2026-05-10T08:01:04+00:00;44.123936;5.987974;850.0;5.0;80.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
18;2026-05-10T08:01:08+00:00;44.123966;5.987994;850.0;5.0;85.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
19;2026-05-10T08:01:12+00:00;44.123996;5.988014;850.0;5.0;90.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
20;2026-05-10T08:01:16+00:00;44.124026;5.988034;850.0;5.0;95.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
21;2026-05-10T08:01:20+00:00;44.124056;5.988054;850.0;5.0;100.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
22;2026-05-10T08:01:24+00:00;44.124086;5.988074;850.0;5.0;105.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
23;2026-05-10T08:01:28+00:00;44.124116;5.988094;850.0;5.0;110.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
24;2026-05-10T08:01:32+00:00;44.124146;5.988114;850.0;5.0;115.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
25;2026-05-10T08:01:36+00:00;44.124176;5.988134;850.0;5.0;120.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
26;2026-05-10T08:01:40+00:00;44.124206;5.988154;850.0;5.0;125.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
